date,category,description,vendor,amount,status
2023-10-12,Electrical Test,EICR and socket remediation,Brighton Safety Co.,185.4,Cleared
2023-12-05,Boiler Check,Annual service & pressure test,Seaside Heating,142,Cleared
2024-02-18,Repairs,Roof slate replacement after storm,South Downs Roofing,420.75,Cleared
2024-04-09,Home Improvements,Kitchen repaint & minor joinery,Lanes Decorators,310.2,Cleared
2024-05-22,Electrical Test,Fuse board labelling & RCD check,Hove Electrics,128,Cleared
2024-06-30,Repairs,Garden gate replacement,Kemp Joinery,95.5,Cleared
2024-08-11,Home Improvements,Loft insulation top-up,Downland Energy,260,Cleared
2024-09-07,Boiler Check,Condensate pipe flush,Seaside Heating,88,Cleared
2024-10-19,Repairs,Window seal replacement,Coastline Glazing,156.25,Cleared
2024-11-28,Electrical Test,Smoke alarm replacements,Brighton Safety Co.,74,Cleared
2025-01-14,Home Improvements,Bathroom ventilation upgrade,Marina Mechanical,235.8,Cleared
2025-02-20,Boiler Check,Flue integrity check,Seaside Heating,112.3,Pending
2025-03-03,Repairs,Front door resealing,Hove Handymen,82,Pending
